image1,image2,mos1,mos2,worst1,best1,worst2,best2
Caffe_ColorNoise_3.ply,Caffe_ColorNoise_4.ply,3.928571429,3.535714286,2.5,5.0,2.0,5.0
Caffe_ColorNoise_3.ply,Caffe_ColorNoise_5.ply,3.928571429,3.633333333,2.5,5.0,1.5,5.0
Caffe_ColorNoise_3.ply,Caffe_ColorNoise_6.ply,3.928571429,3.392857143,2.5,5.0,1.0,4.5
Caffe_ColorNoise_3.ply,Caffe_ColorNoise_7.ply,3.928571429,2.892857143,2.5,5.0,1.0,3.5
Caffe_ColorNoise_4.ply,Caffe_ColorNoise_5.ply,3.535714286,3.633333333,2.0,5.0,1.5,5.0
Caffe_ColorNoise_4.ply,Caffe_ColorNoise_6.ply,3.535714286,3.392857143,2.0,5.0,1.0,4.5
Caffe_ColorNoise_4.ply,Caffe_ColorNoise_7.ply,3.535714286,2.892857143,2.0,5.0,1.0,3.5
Caffe_ColorNoise_5.ply,Caffe_ColorNoise_6.ply,3.633333333,3.392857143,1.5,5.0,1.0,4.5
Caffe_ColorNoise_5.ply,Caffe_ColorNoise_7.ply,3.633333333,2.892857143,1.5,5.0,1.0,3.5
Caffe_ColorNoise_6.ply,Caffe_ColorNoise_7.ply,3.392857143,2.892857143,1.0,4.5,1.0,3.5
Caffe_ContrastDistortion_1.ply,Caffe_ContrastDistortion_2.ply,4.0,3.607142857,2.5,5.0,2.0,5.0
Caffe_ContrastDistortion_1.ply,Caffe_ContrastDistortion_3.ply,4.0,3.285714286,2.5,5.0,1.5,5.0
Caffe_ContrastDistortion_1.ply,Caffe_ContrastDistortion_4.ply,4.0,3.178571429,2.5,5.0,1.0,4.5
Caffe_ContrastDistortion_1.ply,Caffe_ContrastDistortion_5.ply,4.0,2.214285714,2.5,5.0,1.0,3.5
Caffe_ContrastDistortion_2.ply,Caffe_ContrastDistortion_3.ply,3.607142857,3.285714286,2.0,5.0,1.5,5.0
Caffe_ContrastDistortion_2.ply,Caffe_ContrastDistortion_4.ply,3.607142857,3.178571429,2.0,5.0,1.0,4.5
Caffe_ContrastDistortion_2.ply,Caffe_ContrastDistortion_5.ply,3.607142857,2.214285714,2.0,5.0,1.0,3.5
Caffe_ContrastDistortion_3.ply,Caffe_ContrastDistortion_4.ply,3.285714286,3.178571429,1.5,5.0,1.0,4.5
Caffe_ContrastDistortion_3.ply,Caffe_ContrastDistortion_5.ply,3.285714286,2.214285714,1.5,5.0,1.0,3.5
Caffe_ContrastDistortion_4.ply,Caffe_ContrastDistortion_5.ply,3.178571429,2.214285714,1.0,4.5,1.0,3.5
Caffe_CorrelatedGaussianNoise_1.ply,Caffe_CorrelatedGaussianNoise_2.ply,4.107142857,3.75,2.5,5.0,2.0,5.0
Caffe_CorrelatedGaussianNoise_1.ply,Caffe_CorrelatedGaussianNoise_3.ply,4.107142857,3.59375,2.5,5.0,1.5,5.0
Caffe_CorrelatedGaussianNoise_1.ply,Caffe_CorrelatedGaussianNoise_4.ply,4.107142857,3.285714286,2.5,5.0,1.0,4.5
Caffe_CorrelatedGaussianNoise_1.ply,Caffe_CorrelatedGaussianNoise_5.ply,4.107142857,2.892857143,2.5,5.0,1.0,3.5
Caffe_CorrelatedGaussianNoise_2.ply,Caffe_CorrelatedGaussianNoise_3.ply,3.75,3.59375,2.0,5.0,1.5,5.0
Caffe_CorrelatedGaussianNoise_2.ply,Caffe_CorrelatedGaussianNoise_4.ply,3.75,3.285714286,2.0,5.0,1.0,4.5
Caffe_CorrelatedGaussianNoise_2.ply,Caffe_CorrelatedGaussianNoise_5.ply,3.75,2.892857143,2.0,5.0,1.0,3.5
